doc_id,url,section,last_modified
1,https://students.wlu.ca/home.html,home,    2026-07-20
2,https://students.wlu.ca/academics/index.html,academics,    2026-06-30
3,https://students.wlu.ca/academics/research/animals.html,academics,    2026-06-26
4,https://students.wlu.ca/academics/research/human-research/post-approval-requirements.html,academics,    2026-05-08
5,https://students.wlu.ca/academics/research/human-research/researcher-resources.html,academics,    2026-01-21
6,https://students.wlu.ca/academics/research/human-research/romeo-research-portal.html,academics,    2026-05-08
7,https://students.wlu.ca/academics/research/human-research/research-ethics-board-review.html,academics,    2025-01-17
8,https://students.wlu.ca/academics/research/human-research/index.html,academics,    2025-05-08
9,https://students.wlu.ca/academics/research/human-research/assets/resources/departmental-ethics-review.html,academics,    2026-01-26
10,https://students.wlu.ca/academics/research/human-research/assets/resources/new-multi-jurisdictional-research-application-and-guidance.html,academics,    2024-12-03
11,https://students.wlu.ca/academics/research/human-research/assets/resources/romeo-research-ethics-application-update.html,academics,    2025-10-24
12,https://students.wlu.ca/academics/research/human-research/assets/resources/top-tips-for-an-efficient-review.html,academics,    2025-01-24
13,https://students.wlu.ca/academics/research/human-research/assets/resources/reb/exemptions.html,academics,    2025-01-16
14,https://students.wlu.ca/academics/research/human-research/assets/resources/reb/materials-to-submit.html,academics,    2025-01-24
15,https://students.wlu.ca/academics/research/human-research/assets/resources/reb/application.html,academics,    2026-05-20
16,https://students.wlu.ca/academics/research/human-research/assets/resources/reb/definitions-and-tcps2-statement.html,academics,    2025-01-17
17,https://students.wlu.ca/academics/research/human-research/assets/resources/guidelines/general-ethics.html,academics,    2025-10-24
18,https://students.wlu.ca/academics/research/human-research/assets/resources/guidelines/informed-consent.html,academics,    2026-02-10
19,https://students.wlu.ca/academics/research/get-involved/undergraduate-student-research-award.html,academics,    2026-02-27
20,https://students.wlu.ca/academics/research/get-involved/index.html,academics,    2025-02-06
21,https://students.wlu.ca/academics/research/index.html,academics,    2026-06-30
22,https://students.wlu.ca/academics/virtual-asynchronous-learning/guidelines.html,academics,    2025-08-13
23,https://students.wlu.ca/academics/virtual-asynchronous-learning/index.html,academics,    2026-06-30
24,https://students.wlu.ca/academics/virtual-asynchronous-learning/assets/resources/exams.html,academics,    2023-03-23
25,https://students.wlu.ca/academics/library/librarians.html,academics,    2026-07-02
26,https://students.wlu.ca/academics/library/locations.html,academics,    2024-07-03
27,https://students.wlu.ca/academics/library/library-makerspace/workshops.html,academics,    2023-01-03
28,https://students.wlu.ca/academics/library/library-makerspace/index.html,academics,    2025-09-11
29,https://students.wlu.ca/academics/library/community-and-culture.html,academics,    2026-06-25
30,https://students.wlu.ca/academics/library/academic-support.html,academics,    2024-12-06
31,https://students.wlu.ca/academics/library/index.html,academics,    2026-06-30
32,https://students.wlu.ca/academics/global-engagement-and-exchanges/assets/resources/qescholars-2025.html,academics,    2025-10-15
33,https://students.wlu.ca/academics/global-engagement-and-exchanges/assets/resources/outgoing-exchange-student-alumni.html,academics,    2023-12-20
